页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,正负情感,子类目,总类别
18,4.78585E+15,上海虹口,2022/6/30 0:27,#爱上北外滩# 【夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（上）】中共四大纪念馆所在的四川北路原名北四川路，全长3.8公里。过去，这里不仅是著名的商业街，也是红色印记和海派风情交织辉映的文化街。而以四川北路为主轴、从今武进路至东江湾路方圆约2平方公里的区域，即历史上所谓“北四川路越界筑路区”，在中国革命和中共党史上、在先进思想的传播和左翼文化的发展中，具有举足轻重的地位。 夜读北外滩 | 北四川路为什么会成为先进文化的摇篮？（上）,0,0,1,,上海,上海,中国,,,
18,4.78432E+15,青春上海,2022/6/25 19:02,“重任在肩，使命光荣。更要不忘初心，不负韶华，用心用情用力守护好红色阵地、传承好红色基因！” 90后党代表丁晓，本职工作是中共四大纪念馆宣教部主任，也是一名党支部副书记。作为一名在红色场馆中受到感召继而加入党组织的年轻人，她觉得，这正是源于信仰的力量。#闪光青年#  青春上海的微博视频 ,4,1,8,,上海,上海,中国,,,
18,4.76916E+15,文化虹口,2022/5/14 22:48,国旗广场“大思政课” | “虹”色足迹 · 年轮大道（4）中共四大纪念馆以布展提升为契机，对周边环境进行升级改造，打造了“虹”色足迹·年轮大道展示墙，集中展示了虹口区85处重要革命遗址旧址，反映了中国共产党在虹口的战斗历程，展现了共产党人坚贞不屈、追求自由的斗争精神。为迎接党的二十大召开，特推出国旗广场“大思政课”——“虹”色足迹·年轮大道专栏，持续更新年轮大道展示墙中的革命旧址，回顾中国共产党的奋斗历程，弘扬中国共产党人的伟大精神，让红色文化在上海更加鲜活靓丽。详情请戳链接：国旗广场“大思政课” | “虹”色足迹 · 年轮大道（4）,0,0,0,,上海,上海,中国,,,
18,4.76484E+15,文化虹口,2022/5/3 0:35,中共四大纪念馆党的志愿者们说：请党放心，“疫”线有我！3月以来，受多重因素影响，上海本土疫情再次爆发，全面防控新冠肺炎疫情进入关键时期，全市志愿者同心协力、辛勤值守，为疫情防控工作增添了力量，让千万市民感受到了城市的温暖。近期，在中共四大纪念馆党支部书记、馆长童科的带领下，本馆两位青年职工与四名德律风物业团队的小伙，组成了一支7人的志愿者队伍，至今已连续一个月驻馆待命。他们舍小家、为大家，尽己所能、无悔付出，充分发挥“力量之源”战斗堡垒和先锋模范作用。让我们来听听他们的故事……详情请戳链接：中共四大纪念馆党的志愿者们说：请党放心，“疫”线有我！,0,0,0,,上海,上海,中国,,,
18,4.76244E+15,leemake,2022/4/26 10:05,每日名胜|上海·中共四大纪念馆 每日名胜|上海·中共四大纪念馆 ,0,0,0,,黔东南,贵州,中国,,,
19,4.74576E+15,黑豆月饼,2022/3/11 8:51,毛不易#毛不易 你要不要出去玩# 毛毛，是上海革命旧址遗址纪念墙和中共四大纪念馆呀 ,0,1,8,,,,,,,
19,4.74438E+15,文化虹口,2022/3/7 13:59,2021年度上海市博物馆陈列展览精品推介结果揭晓，中共四大纪念馆国旗教育展荣获精品推介在上海市文化和旅游局（上海市文物局）的指导下，上海市博物馆协会组织开展了2021年度上海市博物馆陈列展览精品推介工作，共收到来自23家文博单位申报的28个线下实体展览。这些展览题材多样、内涵丰富、主题鲜明、紧扣时代脉搏，就围绕中心、服务大局，丰富公众文化生活、促进经济社会发展等方面发挥了重要作用。详情请戳链接：2021年度上海市博物馆陈列展览精品推介结果揭晓，中共四大纪念馆国旗教育展荣获精品推介,0,0,0,,,,,,,
19,4.74379E+15,上海虹口,2022/3/5 22:42,#虹口新闻# 【从聆听者到讲述者，他们走进中共四大纪念馆→】为守护辖区的诸多红色景点，中共四大纪念馆所在辖区四川北路派出所成立了红色守护团，维护景点周边的治安秩序。如今民警们走进中共四大纪念馆，担任起了馆内的义务讲解员，从聆听者、守护者转变为讲述者。（w） 从聆听者到讲述者，他们走进中共四大纪念馆→ ,0,0,0,,,,,,,
19,4.74371E+15,上海长安网,2022/3/5 17:02,【青年、民警、守护者……如今他们又多了一个身份】为传承红色基因，弘扬红色文化，以青春之我、奋斗之我献礼中国共青团成立一百周年，值此#3月5日学雷锋纪念日#来临之际，虹口公安分局与辖区中共四大纪念馆开展党建联建签约活动，并举行青年民警成立“虹鹄”青年志愿服务队，积极参与到四大纪念馆的义务讲解员队伍中。 看看新闻KNEWS的微博视频,79,40,56,,,,,,,
19,4.74295E+15,文化虹口,2022/3/3 14:48,“虹讲堂”线下巡讲｜“传承红色基因，讲述父辈故事”系列之四为进一步推进中共四大纪念馆与虹口区党建服务中心“一馆两用，融合发展”，推动区内各类教育资源系统集成，加强思想引领、着力凝心铸魂，虹口区党建服务中心、中共四大纪念馆以“虹讲堂”线下巡讲平台为依托，特邀上海革命故事讲述团每月定期在区级党群服务主阵地开展现场授课。详情请戳链接：“虹讲堂”线下巡讲｜“传承红色基因，讲述父辈故事”系列之四,0,0,0,,,,,,,
19,4.74253E+15,西咸新区秦汉新城,2022/3/2 10:58,#党史学习教育# 【#中共四大纪念馆镇馆之宝#】央视国家记忆的微博视频 ,0,0,0,,,,,,,
19,4.73744E+15,ADVERSARY2021,2022/2/16 10:01,“传承红色基因，弘扬伟大建党精神”#红色云展厅进山青# @山东青年政治学院  设艺学子在行动 打卡人:武俊秀 打卡时间:2022.2.16 打卡地点:中共四大纪念馆 打卡第二十四天 ,0,0,0,,,,,,,
19,4.73608E+15,文大又,2022/2/12 16:16,中共四大纪念馆楼上???觉醒年代版画展，楼下的虹口区革命展也非常不错?? 上海·中共四大纪念馆 ,0,0,5,,,,,,,
19,4.73608E+15,文大又,2022/2/12 16:15,参观中共四大纪念馆—广吉里 上海·中共四大纪念馆 ,0,1,0,,,,,,,
19,4.73578E+15,文化虹口,2022/2/11 20:26,将红色资源“串珠成链”，把党史故事讲活讲深红色是中国共产党、中华人民共和国最鲜亮的底色，在虹口区四川北路街道1.78平方公里中红色资源星罗棋布。中共四大会址遗址、左联会址纪念馆、李白烈士故居、原中共江苏省委旧址、木刻讲习会旧址等51处革命旧址遗址集聚于此，社区内还有着100多处的红色印迹，是“没有围墙的红色博物馆”和“天然的党史学堂”。详情请戳链接：将红色资源“串珠成链”，把党史故事讲活讲深,0,0,1,,,,,,,
20,4.73566E+15,用户7737002232,2022/2/11 11:55,“传承红色基因，弘扬伟大建党精神”#红色云展厅进山青# @山东青年政治学院     设艺学子在行动 打卡人:黄嘉琪 打卡时间:2022.2.11 打卡地点:中共四大纪念馆 打卡第21天  ,0,0,0,,,,,,,
20,4.73527E+15,央视国家记忆,2022/2/10 10:30,【#中共四大纪念馆镇馆之宝#】这份珍贵的档案是由时任中共中央局兼中央局秘书的毛泽东，于1924年8月31日亲笔签发的。为确保安全，他落款为“钟英”，即“中共中央”的谐音，而档案内容则是通知召开党的第四次全国代表大会。#人民的选择# #国家记忆# @央视国家记忆 @全球纪录片联盟 央视国家记忆的微博视频,147,32,388,,,,,,,
20,4.73315E+15,xuqinbaby89,2022/2/4 13:58,参观中共四大纪念馆，不忘历史???????? ,0,0,0,,,,,,,
20,4.73072E+15,话匣子FM,2022/1/28 20:53,【“初心讲堂”之“力量之源 信念永恒”迎春诗歌朗诵会1月28日在中共四大纪念馆举行】朗诵会由生命亲情、讴歌祖国、历史回顾、理想信念等4个篇章组成，著名配音艺术家童自荣现场演绎了《中国结》与《在那遥远的地方》两首诗歌。@上海虹口 话匣子FM的微博视频 ,0,0,1,,,,,,,
20,4.72485E+15,上海虹口,2022/1/12 16:33,“弘扬伟大建党精神，庆祝中国共产党第四次全国代表大会召开97周年主题系列活动”在中共四大纪念馆举行~视频：袁伟 上海虹口的微博视频 ,0,0,0,,,,,,,
20,4.72294E+15,上海虹口,2022/1/7 9:40,#虹口新闻#  【首批！虹口景区入选这个名单】市文化旅游局介绍，经评定，中共四大纪念馆、上海科技馆、东方明珠广播电视塔等21家单位成为首批上海市数字景区。请大家参加文旅活动时注意个人防护，做到“三件套”“五还要”。（m） ,0,0,0,,,,,,,
20,4.71906E+15,周村发布,2021/12/27 16:46,#周村新闻# 近日，淄博六中党委班子开展“红色云展厅”集中学习活动，通过线上红色展馆共同学习党史知识。活动中，党委班子成员重点参观了“中共一大纪念馆”“中共二大纪念馆”“中共四大纪念馆”，通过收听专业讲解，重温中共一大、二大、四大的历史意义，深入了解了“中国共产党人的精神家园”，回顾了中国共产党的光辉历程。下一步，学校将借助“红色云展厅”的丰富资源，深入开展“红色云展厅”进校园活动，引导广大师生在学习党史中汲取精神力量，厚植爱党爱国情怀，共同助力学校高质量发展。,0,0,0,,,,,,,
21,4.71734E+15,Jack的旅行故事,2021/12/22 22:37,上海·中共四大纪念馆 我的评分：上海旅行｜中共四大纪念馆 领略红色之旅Hello，大家好，我是Jack的旅行故事，今天来和大家分享一下上海中共四大纪念馆。??环境：中共四大纪念馆位于上海市虹口区，近四川北路虬江路。整个馆内以党史知识与文化内涵为血脉。布展提升后的中共四大纪念馆，基本展陈面积较之前扩大一倍，完整再现了1925年中共四大召开的生动场景，展陈把场景厅和展览内容有机融合，观众能够更加清楚地了解四大召开的全过程，从中共四大筹备到召开以及大会的历史贡献，展陈逻辑线路更加清楚。同时，进一步融入多媒体互动技术，如AR增强现实技术、多媒体投影动态展示、图像识别、一键切换、雷达互动捕捉等，提升观展互动性、参与性、趣味性。??详细地址：上海市虹口区四川北路1468号??交通：地铁10号线四川北路站下车。??门票：免费。?营业时间：早上9:00-11:30下午13:30-16:30#上海旅行##vc计划##旅行打卡#,2,67,44,,,,,,,
21,4.71549E+15,警民直通车-上海,2021/12/17 20:30,#公安心向党 护航新征程# 【永葆初心践誓言】为充分发挥党员先锋模范作用，增强新党员的使命感和自豪感，虹口公安分局在中共四大纪念馆举行新党员入党宣誓仪式。虹口公安分局的微博视频 ,0,1,14,,,,,,,
21,4.7146E+15,文化虹口,2021/12/15 9:11,内外兼修，提升能力！中共四大纪念馆开展岗位大练兵  为进一步做好中共四大纪念馆讲解接待工作，加强讲解队伍能力建设，讲好红色故事，弘扬伟大建党精神，全面提高讲解员的综合素养，12月9日，中共四大纪念馆、国旗教育展示厅开展新晋讲解员业务考核。  详情请戳链接：内外兼修，提升能力！中共四大纪念馆开展岗位大练兵 ,0,0,0,,,,,,,
21,4.71432E+15,上海虹口,2021/12/14 15:06,#虹口新闻#【当被通知成为了密切接触者该怎么办？去隔离点要隔离多少天？来看权威】今年，区红十字会又先后在北外滩滨江驿站和中共四大纪念馆增设AED设备，将设备总数提升至17台。记者在北外滩滨江驿站看到，一台红色的立柜式AED设备安装在接待服务台大厅显眼处。在设备自带的屏幕上，还实时播放着实操培训视频，如何在紧急情况下正确使用AED，一目了然。（m） 当被通知成为了密切接触者该怎么办？去隔离点要隔离多少天？来看权威,0,0,1,,,,,,,
21,4.71391E+15,抚州崇仁发布,2021/12/13 11:50,中共四大纪念馆：解码力量之源 网页链接 ,0,0,0,,,,,,,
21,4.71135E+15,文化虹口,2021/12/6 10:02,喜报 | 中共四大纪念馆这支队伍荣获“全国最佳志愿服务组织”称号！  近日，在文化和旅游部开展的2021年文化和旅游学雷锋志愿服务先进典型宣传推选工作中，中共四大纪念馆“力量之源”志愿服务总队荣获了全国最佳志愿服务组织的称号。  详情请戳链接：喜报 | 中共四大纪念馆这支队伍荣获“全国最佳志愿服务组织”称号！ ,0,0,0,,,,,,,
21,4.70995E+15,上海虹口,2021/12/2 13:33,【艺术创作的人民性】“初心讲堂”第三讲在中共四大纪念馆开讲，一起来欣赏↓↓视频：卢宁（c） 上海虹口的微博视频 ,0,0,1,,,,,,,
21,4.70881E+15,文化虹口,2021/11/29 10:09,“初心讲堂”第三讲——“艺术创作的人民性”三人谈在中共四大纪念馆举行为大力弘扬伟大建党精神，用好用活上海红色资源，奋力推进新时代党员教育走上新台阶，11月26日下午，“初心讲堂”第三讲——“艺术创作的人民性”三人谈在中共四大纪念馆举行，由上海人民广播电台首席主持人秦畅主持。详情请戳链接：“初心讲堂”第三讲——“艺术创作的人民性”三人谈在中共四大纪念馆举行,0,0,0,,,,,,,
21,4.70825E+15,上海虹口,2021/11/27 20:54,#虹口新闻# 【纪念馆里响起了传承两百多年的乐声……】11月26日下午，“初心讲堂”第三讲——“艺术创作的人民性”三人谈在中共四大纪念馆举行。本次讲堂邀请到上海评弹团团长高博文及著名作家、上海评弹团艺委会顾问马尚龙，聚焦海派文化中的评弹艺术，讲述“中国最美声音”评弹的传承与发展，从不断流变的江南文化里感受人民创作的蓬勃伟力。（c） 纪念馆里响起了传承两百多年的乐声……,0,0,1,,,,,,,
22,4.70743E+15,宜黄之窗,2021/11/25 14:44,每日名胜|上海·中共四大纪念馆 网页链接 ,0,0,0,,,,,,,
22,4.70628E+15,文化虹口,2021/11/22 10:19,新展开幕｜中共四大纪念馆：《工人之路》，海外寻档探初心  上海是中国工人阶级的大本营。1920年11月21日，第一个由中国共产党组织的工会组织——上海机器工会宣告成立。在这个特殊日子，《工人之路》珍贵党史文献资料全国巡展上海首站在中共四大纪念馆开幕。  详情请戳链接：新展开幕｜中共四大纪念馆：《工人之路》，海外寻档探初心 ,0,0,0,,,,,,,
22,4.70626E+15,上海虹口,2021/11/22 9:25,#虹口新闻# 【珍贵文献，首站亮相！】1920年11月21日，第一个由中国共产党组织的工会组织——上海机器工会宣告成立。101年后的今天（11月21日），《工人之路》珍贵党史文献资料全国巡展上海首站在中共四大纪念馆开幕。（c） ,0,0,0,,,,,,,
22,4.69692E+15,文化虹口,2021/10/27 14:37,陈长璞参观中共四大纪念馆，缅怀祖父陈独秀伯父陈延年陈乔年  10月23日下午，陈独秀孙女，陈延年、陈乔年烈士侄女陈长璞来到中共四大纪念馆和国旗教育展示厅参观。  详情请戳链接：陈长璞参观中共四大纪念馆，缅怀祖父陈独秀伯父陈延年陈乔年 ,0,0,7,,,,,,,
22,4.69302E+15,七月·拾柒,2021/10/16 20:18,今天的助盲志愿之旅是中共四大纪念馆 感谢极光公益组织，像它的名字一样发光 今天引导的是位美丽又气质的阿姨 地铁站还遇见了一只导盲犬 它主动贴贴我，还亲亲我 就，开心呐 ,0,3,3,,,,,,,
22,4.68975E+15,闻所未文,2021/10/7 19:56,#国庆节# 【国庆风景中 最美“中国红” 国庆假期红色旅游再掀热潮】国庆长假第一天，上海市民张女士与母亲、女儿一早便从人民广场出发，乘坐红色专线车，“打卡”中共一大纪念馆、中共二大会址纪念馆、中共四大纪念馆及沿线历史建筑。专线采取“一张车票、多点上下”方式，游客在车上聆听详细讲解，下车后凭预约信息，有序进入场馆参观。网页链接,0,1,0,,,,,,,
23,4.67952E+15,上海虹口,2021/9/9 14:15,#虹口新闻# 【134位新人，我们看好你哟！】在第37个教师节即将到来之际，来自虹口的134位新入职教师，汇聚在中共四大纪念馆国旗广场上，整齐列队，举起右手，在国旗下庄严宣誓。（m） 上海虹口的微博视频 ,0,0,1,,,,,,,
23,4.67196E+15,小顾的妈咪QQ,2021/8/19 17:46,预初小队打卡红色地标???? ——中共四大纪念馆，录制红歌视频?? ,0,0,0,,,,,,,
23,4.66649E+15,上海虹口,2021/8/4 15:30,#虹口新闻#【中共四大纪念馆关于加强疫情防控的公告】中共四大纪念馆现就入馆参观流程提醒如下 （x） ,0,0,0,,,,,,,
23,4.6655E+15,上海虹口,2021/8/1 21:56,#小虹分享# 【记忆｜建筑可阅读：中共四大纪念馆升级改造后，展陈亮点逐一道来】石库门元素、沉浸式体验、上海首个国旗教育展示厅……位于四川北路1468号的中共四大纪念馆，布展提升后，不仅扩大了之前的展陈面积，更通过多媒体互动技术增强了观众的互动体验，让大家可以更直观、生动地了解那段重要历史，今天我们就一起走进这里，了解下这座建筑，细数其中的展陈亮点吧↓（m） 【记忆】建筑可阅读：中共四大纪念馆升级改造后，展陈亮点逐一道来,0,0,0,,,,,,,
23,4.66537E+15,三言一语2010,2021/8/1 13:17,上海，中共四大纪念馆 中共“四大”纪念馆位于上海市虹口区四川北路绿地公园内，由序厅、主展厅、影视厅和副展厅等组成。 中共“四大”原址在虹口区东宝兴路254弄28支弄8号，原址毁于淞沪之战。 上海·中共四大纪念馆 ,0,0,0,,,,,,,
23,4.66329E+15,上海发布,2021/7/26 19:17,【中共四大纪念馆、广富林文化遗址明日闭馆】#便民提示#受台风“烟花”影响，为确保游客参观安全，中共四大纪念馆将于7月27日（周二）起继续闭馆，具体开放时间将根据情况另行通知；广富林文化遗址将于7月27日继续闭园一天，请已预约各场馆门票的游客及时退票，择日出行。详见↓ 中共四大纪念馆、广富林文化遗址明日闭馆 ,13,7,22,,,,,,,
23,4.65563E+15,文汇报,2021/7/5 16:04,【百年前的80、90、00后】在中共四大纪念馆的代表展区，艺术家将每一位代表的形象以石板画的形式进行展示。仔细看他们的出生年月日，恰恰是我们百年前的80、90、00后。从建党到新中国的成立，牺牲了2000多万名革命烈士，其中有详细记载的只有370多万人，正是在这些先辈的前赴后继之下，才能够取得今天的胜利！#建党百年#  @中共四大纪念馆 网页链接 文汇报的秒拍视频,1,1,2,,,,,,,
23,4.65444E+15,青年报,2021/7/2 9:07,#青年报社原创# 【#这一天的上海青年#：中共四大纪念馆迎来特殊观众！97岁的老将军说，未来要靠你们年轻一代】今天一早，在日均参观6000人次的中共四大纪念馆里迎来了一群特殊的观众，有刚刚获得“在党50年”纪念章的老党员、有全国和上海市劳动模范、有公安部“优秀党务工作者”、有市五四青年奖章标兵、有市区“两优一先”代表等，他们在原海军上海基地副参谋长、97岁高龄的鲍奇将军带领下，在纪念馆序厅举行了重温入党宣誓活动，声声誓言铿锵有力，响彻会场上空。随后，在观看庆祝建党百年大会实况时，大家心潮澎湃，回望在这一百年的征程中，一代又一代中国共产党人接续前行，带领中国人民写就辉煌伟业，让古老的中华民族重获新生，正在朝着伟大复兴的梦想破浪前行。（青年报·青春上海记者 杨力佳/文 施剑平/图、视频 sei 编辑）#微博蓝v视频大赏##微博放映厅##何其幸运我们共睹这一天# 青年报的微博视频,1,0,3,,,,,,,
23,4.65423E+15,上海法治报社,2021/7/1 19:27,发布了头条文章：《“依然要不忘初心跟党走”，97岁老党员特地“打卡”中共四大纪念馆》  “依然要不忘初心跟党走”，97岁老党员特地“打卡”中共四大纪念馆 ,0,0,0,,,,,,,
24,4.65156E+15,上海工会发布,2021/6/24 10:36,【网络青春力量 献礼百年华诞 上海大学生“红色寻访专列”活动正式启动】本次活动以10号线列车串联沿线的中共一大会址、中共四大纪念馆和钱学森图书馆等13家红色场馆为载体，以情景体验和社会实践为课堂，通过线上线下互动、校内校外联动，面向高校师生打造了一堂沉浸式、开放的、行走的“思政大课”，助力上海市营造“中国好网民礼赞建党百年”的浓厚氛围。活动期间，学生网民可通过个人或团体活动的形式乘坐10号线列车寻访这些红色场馆，主办方在红色专列及各红色场馆都设置了打卡点，扫码通过知识问答即可收集到该场馆纪念图片完成打卡，完成所有打卡活动即可获得纪念证书及地铁纪念票。#青春耀百年#   发布丨网络青春力量 献礼百年华诞 上海大学生“红色寻访专列”活动正式启动,1,0,1,,,,,,,
24,4.65129E+15,上海虹口,2021/6/23 16:24,#虹口新闻# 【小虹带你云逛中共四大纪念馆】经过半年的提升工程后，中共四大纪念馆于近日以崭新面貌向社会重新开放。还没来得及去参观？没关系！来看看视频先睹为快吧~ （x） 上海虹口的微博视频 ,0,0,0,,,,,,,
24,4.64989E+15,上海地铁shmetro,2021/6/19 20:00,【途经3处红色地标的1、2、4号线主题列车】上海地铁1、2、4号线分别行经中共一大纪念馆、中共二大会址纪念馆和中共四大会址纪念馆。为展示这三处“红色地标”，上海地铁在三条线路中各选取1列地铁列车，打造“百年号”红色主题专列，让广大市民乘客们在车站中阅读红色故事，在车厢中追寻红色印记，在行进中感受光荣之城的红色血脉，共同庆祝中国共产党成立100周年。,1,5,9,,,,,,,
24,4.64583E+15,上海地铁shmetro,2021/6/8 14:48,【小编在现场】小编目前乘上了10号线主题列车，列车上就毗邻10号线四川北路站的中共四大纪念馆进行了介绍。 ,2,1,11,,,,,,,
24,4.64469E+15,上海教育,2021/6/5 11:15,【馆长说·中共四大纪念馆：带你回到开创历史新格局的1925年——中国大革命高潮的起点（上）】这是一部庆祝建党百年的宝贵资料，这是一套深入学习党史教育的生动教材，学史明理，学史增信，学史崇德，学史力行。重走中共一大会址，探访陈云纪念馆，走进石库门，去感受峥嵘岁月里的跌宕起伏………2021年6月1日-6月30日 ，“寻访百年路 奋斗新征程”红色资源微视频《馆长说》精彩呈现。上海市教卫工作党委、上海市教委、上海学生校外联办首次集结数十位馆长，深度挖掘红色场馆的人文内涵和教育价值，传承红色基因，厚植爱国主义情怀。跟着本集讲解人中共四大纪念馆馆长童科聆听党史故事。 上海教育的微博视频,1,0,0,,,,,,,
24,4.64298E+15,东方网,2021/5/31 18:14,【#上海有哪些红色里弄#？中共四大纪念馆馆长数给你听】中共四大纪念馆馆长童科表示，上海是党的诞生地，从石库门到天安门，共产党发起组是渔阳里；中共一大，树德里；中共二大，辅德里；中共三大后机关旧址是三曾里；鲁迅旧居，景云里；毛泽东旧居，甲秀里；老上海大学，青云里…… 所以我们看石库门当中的红色基因，其特征是非常清晰的。（东方网记者：王旭、刘晓晶、孔文龙）  东方网的微博视频,1,0,5,,,,,,,
24,4.64284E+15,中国新闻网,2021/5/31 8:55,#小新在直播#【建党百年 | 中共四大纪念馆恢复开放 石库门里追寻革命历史】#中国共产党一百年#5月31日，修缮一新的中共四大纪念馆重新开放。纪念馆布展提升后，运用石库门元素贯穿整个展线，穿过石库门，观众仿佛置身于上世纪二三十年代的上海里弄中，体验沉浸式观展。一同来探访~ 中国新闻网的微博视频,35,8,132,,,,,,,
25,4.64068E+15,乐游上海,2021/5/25 9:45,【全新红色专线来了！乘坐观光巴士去参观中共一大、二大、四大纪念馆】5月25日起，“中国共产党一大?二大?四大纪念馆红色专线车”开始试运行，市民游客可以乘坐全新的红色双层观光巴士，一次打卡上海主要红色地标。专线车根据三个纪念馆的地理位置，采用“旅游+交通”的运营模式，实行“定时、定点、定线”发车。一张车票，一票畅游、随意上下，成人票价为20元，可免费携带1.4m以下儿童一名（不占座位）。专线车全程大约90分钟，行程20公里，共设立五个站点，分别为五卅运动纪念碑站、中共一大纪念馆站、二大会址纪念馆站、四大纪念馆站以及南京东路站。,0,0,1,,,,,,,
25,4.63359E+15,上海虹口,2021/5/5 20:21,#虹口新闻# #党史学习教育# 【中共四大纪念馆修缮初具雏形，有大量石库门元素还将有AR体验→】多处石库门门头、具有上海老里弄特色的墙体、路面……在目前正闭馆修缮的中共四大纪念馆，新馆的内部结构已初具雏形，其中大量石库门元素的加入，让整个展厅的面貌焕然一新。根据计划，该馆拟于5月份基本完成展陈布置，并于7月1日前正式运营。（w） 中共四大纪念馆修缮初具雏形，有大量石库门元素还将有AR体验→,0,0,2,,,,,,,
25,4.62402E+15,文化虹口,2021/4/9 10:22,“微剧情+小故事”，中共四大纪念馆创新形式传承红色基因  “出于安全考虑，中共四大的会场布置成了一个英文补习班，开会过程中，一旦发生紧急情况，代表们就会马上收起讨论的文件，拿起英文书开始上课……”视频中，中共四大纪念馆首席讲解员王力娓娓道来。  详情请戳链接：“微剧情+小故事”，中共四大纪念馆创新形式传承红色基因 ,0,0,0,,,,,,,
25,4.61261E+15,上海虹口,2021/3/8 23:02,#虹口新闻# 【扎根红色土壤讲党史故事，这群巾帼们又得奖啦~】三八节前夕，喜讯传来，虹口区中共四大纪念馆宣教部荣获“2020年度全国三八红旗集体”称号。这是中共四大纪念馆的女讲解员们扎根虹口、讲好党史故事取得的成果→（w） ,1,0,0,,,,,,,
25,4.60882E+15,文化虹口,2021/2/26 12:13,新春开工第一周，带您探班中共四大纪念馆闭馆期间那些事儿为更好的讲述中共四大与上海党的诞生地故事，开展党史学习教育，建设守护好中国共产党人的精神家园，以良好面貌迎接中国共产党百年华诞，中共四大纪念馆自2020年11月启动布展提升工程以来已经过去了整整3个月。详情请戳链接：新春开工第一周，带您探班中共四大纪念馆闭馆期间那些事儿,0,0,0,,,,,,,
25,4.60528E+15,广东台触电新闻,2021/2/16 17:42,【#上海红色景点微旅游成热潮#，初心寻访者络绎不绝】为迎接建党100周年 ，位于#上海#的中共一大会址纪念馆、中共二大纪念馆和中共四大纪念馆，均在闭馆改造，但申城市民红色旅游的热诚不减。春节期间，四行仓库抗战纪念馆、中国劳动组合书记部旧址陈列馆等多个红色地标迎来一批批初心寻访者。 广东台触电新闻的微博视频,1,0,4,,,,,,,
25,4.57127E+15,上海发布,2020/11/14 20:50,【中共一大会址纪念馆将修缮改造，下周二起暂停开放 】#便民提示#为进一步加强革命文物保护，以良好面貌迎接中国共产党成立100周年，中共一大会址纪念馆自11月17日起暂停对外开放，实施场馆修缮改造，恢复开放时间另行公告。PS：中共二大会址纪念馆、四大纪念馆也将进行修缮，下周一起暂停开放。 ,9,7,33,,,,,,,
25,4.57089E+15,上海发布,2020/11/13 20:08,【中共二大会址纪念馆、四大纪念馆将进行修缮，下周一起暂停开放】#便民提示#为进一步加强革命文物保护，以良好面貌迎接中国共产党成立100周年，中共二大会址纪念馆及中共中央军委在上海史料陈列展、中共四大纪念馆及海派文化中心自11月16日（下周一）起暂停对外开放，实施场馆修缮、展陈调整。恢复开放时间另行公告。 中共二大会址纪念馆、四大纪念馆将进行修缮，下周一起暂停开放,1,1,18,,,,,,,
25,4.5422E+15,上海虹口,2020/8/26 15:43,#“四史”学习# 【生动有趣的连环画又更新啦，还不快来看！】为纪念中国共产党发起组成立100周年，中共四大纪念馆与上海海派连环画中心共同策划、推出《画说中共四大》连环画微信连载。（m） “四史”学习教育丨生动有趣的连环画又更新啦，还不快来看！ ,2,0,0,,,,,,,
26,4.54218E+15,文化虹口,2020/8/26 14:40,“四史”学习教育丨连环画《画说中共四大》（六）  为纪念中国共产党发起组成立100周年，中共四大纪念馆与上海海派连环画中心共同策划、推出《画说中共四大》连环画微信连载。  详情请戳链接：“四史”学习教育丨连环画《画说中共四大》（六） ,0,0,1,,,,,,,
26,4.54135E+15,清风朗月29,2020/8/24 7:23,党的群众路线最初是怎么发展起来的？中共四大纪念馆举行史料展和研讨会给出系统梳理 党的群众路线最初是怎么发展起来的？中共四大纪念馆举行史料展和研讨会给出系统梳理 ,0,0,0,,,,,,,
26,4.54048E+15,书香上海,2020/8/21 22:04,【“四史”学习】今年是中国共产党早期组织成立100周年，也是党的四大召开95周年。1925年1月11日至22日，中国共产党第四次全国代表大会召开。这是党史与中国革命史上一次具有重要历史意义的大会。昨日，在中共四大纪念馆举行的“中国共产党百年群众路线：理论与实践” 学术研讨会上，中共上海党史学会会长忻平带来主旨发言：从党的创建过程中看“四大”地位。@文汇报 “四史”学习丨上海党史学会会长忻平：中共四大是形成群众党开始的基础,1,0,2,,,,,,,
26,4.5403E+15,上海虹口,2020/8/21 9:57,#虹口新闻# 【积极整合红色资源，注重内容融合方式创新，切实提升虹口文化软实力】8月20日下午，区委书记吴信宝前往中共四大纪念馆调研展陈改造提升工作。（m） ,0,0,0,,,,,,,
26,4.54013E+15,上海虹口,2020/8/20 22:44,#虹口新闻# 【“根基血脉，力量之源”史料展开幕！】8月20日上午，中共四大纪念馆联合复旦大学党建研究院等单位，举办了“中国共产党百年群众路线：理论与实践”学术研讨会和《根基血脉·力量之源——党的群众路线百年历程图片史料展》。一起迎接建党百年↓↓（J） ,1,1,1,,,,,,,
26,4.53971E+15,文化虹口,2020/8/19 18:58,铭记“四史”在心，这场虹口青年微党课大赛在中共四大纪念馆举行。  铭记“四史”在心，传承红色基因。近日，在中共四大纪念馆海派文化中心，2020年虹口区青年微党课大赛的线下评比正火热进行。  详情请戳链接：铭记“四史”在心，这场虹口青年微党课大赛在中共四大纪念馆举行 ,0,0,0,,,,,,,
