页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家, 从严治党
25,4919006119071460,奉贤柘林,2023-07-02 10:45:12,#柘林资讯# 【#赓续伟大建党精神 谱写柘林奋斗新篇#柘林镇隆重召开庆祝中国共产党成立102周年主题集会】为庆祝中国共产党成立102周年，回顾党的光辉历程，弘扬党的优良传统，讴歌党的丰功伟绩，6月30日下午，柘林镇隆重召开“赓续伟大建党精神 谱写柘林奋斗新篇”——庆祝中国共产党成立102周年主题集会。网页链接,0,0,0,,上海,上海,中国, 党的光辉历程
31,4894763796660638,上海黄浦,2023-04-26 13:14:51,"【纪念“#南京路上好八连#”命名60周年，南京路商圈党建联盟亮旗帜】一个连队连着一座城市，一座城市传承一种精神。4月25日，由南京路商圈党建联盟主办的纪念“南京路上好八连”命名60周年拥军优属活动顺利举行。南京路上好八连走过的六十年光辉历程表明，它以实际行动始终践行党的初心使命，是一面永不褪色的旗帜。纪念“南京路上好八连”命名60周年，南京路商圈党建联盟亮旗帜 #南京路上好八连命名60周年# #拥军优属#（记者/范沁毅,范煜昊 图片/南京路商圈党建联盟 编辑/刘晓静）",5,2,7,,上海,上海,中国, 党的光辉历程
33,4878876645789201,警民直通车-上海,2023-03-13 17:05:00,#公安心向党 护航新征程# 【音乐党课让红色精神“声”入人心】近日，黄浦分局打浦桥派出所党总支联合打浦桥社区卫生服务中心党支部共同开展“波澜壮阔  气壮山河——在交响乐中见证党的光辉历程”音乐主题党课。老师通过《国际歌》、《长征交响曲》等众多耳熟能详的红色经典音乐以及蕴藏在背后的动人故事，串起了中国共产党惊天动地的发展奇迹，让台下的听众们身临其境地接受党性教育和精神洗礼。@警民直通车-黄浦,0,0,2,,上海,上海,中国, 党的光辉历程
2,5043774441395307,上海静安,2024-06-10 17:49:58,【红色场馆City Walk丨跟着静宝打卡中共二大会址纪念馆，开启一场与历史的对话】#关注静安# 这里是中国共产党第二次全国代表大会的召开地。这里曾是党的中央局宣传工作负责人李达的寓所。这里也是中国共产党第一个地下秘密出版机构——人民出版社的所在地。今天，跟随静宝走进中共二大会址纪念馆，开启一场与历史的对话。详见：网页链接,0,0,1,,,上海,中国, 党的全国代表大会
5,5023354912771553,廉洁上海,2024-04-15 09:30:03,【纪言：把党的伟大自我革命进行到底】“Who am I（我是谁）？”2022年10月19日，正值举世关注中国共产党第二十次全国代表大会之时，这个政党的国际形象宣传片，以这样一个问句，引来无数人深思。百年风霜雪雨，百年大浪淘沙。一个历经血火淬炼的政党，引领着一个饱经沧桑的民族，从烽火连天的革命战争年代，穿过激情燃烧的建设岁月，走过波澜壮阔的改革开放新时期，来到活力满满、热气腾腾的新时代，创造了一个又一个举世瞩目的人间奇迹。（中央纪委国家监委网站）网页链接 纪言：把党的伟大自我革命进行到底,1,0,1,,上海,上海,中国, 党的全国代表大会
5,5017352850117353,上图历史文献中心,2024-03-29 20:00:00,#初心之地#中共一大会址1921年7月23日，来自全国各地的代表共13人齐聚在望志路106号（今兴业路76号），召开中国共产党第一次全国代表大会。大会的中心议题是正式建立中国共产党。大会上通过了党纲和《关于当前实际工作的决议》，确定了党的名称、性质与奋斗目标，指出党成立后的中心任务是组织工会和教育工人，领导工人运动，对党领导工人运动的任务、方针、政策和方法都提出了规定或要求。会上选举出了中央局，由陈独秀任书记、张国焘为组织主任、李达为宣传主任。由此，中国共产党正式破茧而出。在开会过程中，还发生了一个小插曲。7月30日晚，正当会议进行过程中，突然有一陌生男子闯进了会场，当询问他时，他答称走错了地方。其实这个人是法租界巡捕房密探程子卿。他的行动引起了与会人员的警觉。会议立即中断，代表们迅速分头离开。十几分钟后，法国巡捕赶来，包围并搜查了会场，但一无所获。其后，代表们商量改换会议地点，在李达夫人王会悟的提议下，决定到嘉兴南湖去开完最后一次会议。中华人民共和国成立后，中共中央根据董必武等人的回忆，几经寻找终于确定了一大会址，并且对其进行了修缮。1952年，会址建筑修复完毕，开辟为纪念馆对外开放。1961年，中国共产党第一次全国代表大会会址被公布为第一批全国重点文物保护单位。1984年，邓小平为纪念馆题写馆名。2017年，习近平总书记带领中共中央政治局常委瞻仰中共一大会址时，发表重要讲话，强调：“只有不忘初心、牢记使命、永远奋斗，才能让中国共产党永远年轻。”图1：一大会址纪念馆外景图2：一大会址纪念馆内部浮雕,2,0,1,上海,上海,上海,中国, 党的全国代表大会
5,5016221569259796,中共一大纪念馆,2024-03-26 17:04:42,#一大·宝藏# 在上海市黄浦区兴业路上，坐落着一座座灰红相间的小房子，这儿就是中国共产党的诞生地——中国共产党第一次全国代表大会会址。在中共一大纪念馆里，收藏着许多文物，它们如同宝藏一般，记录着党的伟大历程。从这个春天起，我们一起来听听“一大·宝藏”的故事吧！点击链接：网页链接，听第一期故事《我们都是神枪手》。,0,0,1,,,上海,中国, 党的全国代表大会
6,5011778125171876,海上侨音,2024-03-14 10:48:02,为深入学习贯彻党的二十大精神，全面落实第十一次全国归侨侨眷代表大会工作部署，围绕习近平总书记提出的“支持高质量共建‘一带一路’八项行动”开展中国公民、中资机构海外风险应对法律宣传，介绍当地营商环境、投资政策，切实为中国公民和企业在共建“一带一路”国家的安全和发展保驾护航，由中国侨联主办，中国侨联法顾委、中国侨商会协办的“中国侨联服务共建'一带一路'——法顾委海外委员说环境 话安全”法治宣讲活动将于3月15日（周五）正式启动。第一讲于3月15日下午14：30开始，由中国侨联法顾委海外委员哈萨克斯坦臧洁妹律师主讲，线上参会方式请参见海报，敬请关注！@人民日报海外版-海外网 @中国侨网 @中国普法 📣📣📣,25,29,27,上海,上海,上海,中国, 党的全国代表大会
9,4998223179809051,iGeek异行妄想,2024-02-06 01:05:30,2024 年美国总统选举已开启，共有 5 个主要步骤：1）初选/预选：1 月中旬至 6 月上旬共和党和民主党在各州举办初选/预选，关注 2024 年 3月 5 日“超级星期二”，当天有 16 个州同时举办初选；2）全国代表大会：7 月 15 日-18 日共和党全国代表大会、8 月 19 日-22 日民主党全国代表大会，确定两党的总统候选人；3）11 月 5 日举办全国普选，在普选中赢得多数普选票的总统候选人获得该州全部的选举人票；4）选举人投票：2024 年 12 月至 2025 年 1 月初，选举人投票并交由国会计票、宣布结果；5）2025 年 1 月 20 日，新任总统和副总统宣誓就职。财经,0,0,0,上海,上海,上海,中国, 党的全国代表大会
12,4991929161615547,奉城聚焦,2024-01-19 16:15:20,#工会送暖# “两节”期间，部分企业生产一线职工、户外劳动者、新就业形态劳动者仍然坚守在工作岗位上迎战寒冬、挥洒汗水。为全面学习宣传贯彻党的二十大精神和中国工会第十八次全国代表大会精神，进一步有效发挥工会组织桥梁纽带作用，把党和政府的关心关怀、工会组织的温暖送到广大职工心坎上，奉城镇总工会组织开展2024年元旦春节送温暖活动，为他们送上“娘家人”的殷殷关怀和深深敬意。,0,0,0,,上海,上海,中国, 党的全国代表大会
13,4989111760847796,上海虹口,2024-01-11 21:40:00,【中共四大今天99岁，最年轻代表阮章肖像入展】99年前的今天，中国共产党第四次全国代表大会在虹口广吉里弄堂召开，第一次将支部确立为党的基本组织，并对党的支部制度与活动方式作出了具体规定，初步奠定了党的支部制度基础；同时，大会决定将党的组织建设重心从地方组织建设转移到支部建设上来，在随后到来的大革命高潮中，党的组织迅速发展壮大，成功实现了从宣传马克思主义的小团体到群众性政党的伟大跨越。,131,7,9,,上海,上海,中国, 党的全国代表大会
13,4989415221364819,中共一大纪念馆,2024-01-12 17:45:50,为全面贯彻落实党的二十大精神和全国宣传思想文化工作会议精神，进一步推进上海“党的诞生地”红色文化传承弘扬工程，展现党的宣传文化工作的发展历程，助力虹口区“文化三地”建设，在中国共产党第四次全国代表大会召开99周年之际，中共四大纪念馆举行了“强基固本 力量之源”中国共产党第四次全国代表大会召开99周年系列活动。,0,0,3,,上海,上海,中国, 党的全国代表大会
14,4982432753255956,上海杨浦,2023-12-24 11:20:00,#杨浦news# #小杨带你看新闻# 【回望峥嵘岁月，一起走进这场展览】1927年春，国民党右派蒋介石发动四一二反革命政变。在大革命局部失败的紧急关头，中国共产党在共产国际指导下，于4月27日至5月9日在武汉召开第五次全国代表大会。中共五大通过的决议案，提出了指导中国革命的一些正确原则，为党的思想理论建设作出积极贡献。大会初步提出了健全党的领导体制和组织系统的一系列措施，特别是大会正式提出党内实行民主集中制的组织原则，并选举产生了党的历史上第一个纪律检查监督机构——中央监察委员会，这在党的建设史上具有重要意义。但是大会没有提出有效的具体措施，难以承担起挽救革命的任务。1927年7月15日，汪精卫公开“分共”。至此，由国共两党合作发动的大革命全面失败。中国共产党从大革命失败的痛苦中获得极为深刻的经验教训，继续在奋斗中探索，在探索中前进，领导中国革命斗争实现由大革命失败到土地革命战争兴起的历史性转变，走上了新的复兴之路。今天就让我们共同走进《伟大历程——中共一大至七大巡展》第五期。,1,0,0,,上海,上海,中国, 党的全国代表大会
15,4976463701607485,草原朝阳红,2023-12-08 00:01:07,党的光辉照我心——2023年12月5日摄于中国共产第一次全国代表大会纪念馆手机摄影 上海 ,0,0,1,上海,上海,上海,中国, 党的全国代表大会
23,4920066262438274,公务员的考试之路,2023-07-05 08:57:50,蔡奇代表党中央致词全文——《在强国建设民族复兴新征程上书写壮丽青春篇章——在中国共产主义青年团第十九次全国代表大会上的致词》蔡奇代表党中央致词全文——《在强国建设民族复兴新征程上书写壮丽青春篇章——在中国共产主义青年团第十九次全国代表大会上的致词》。团干部是党的青年工作的骨干力量，肩负着为党争取青年人心、汇聚青年力量的重要职责。要以学习贯彻习近平新时代中国特色社会主义思想主题教育为契机，带头学思想、强党性、重实践、建新功，不断提高政治判断力、政治领悟力、政治执行力，自觉做党的创新理论的坚定信仰者、积极传播者、忠实实践者。要牢记习近平总书记关于“做青年友，不做青年‘官’，多为青年计，少为自己谋”的教导，自觉践行群众路线、树牢群众观点，同广大青年打成一片，切实做到对党忠诚、心系青年、担当实干、廉洁自律，以一言一行展现新时代团干部的好样子。青年是祖国的未来、民族的希望，党和人民的事业寄托在青年身上。各级党委要着眼党的事业后继有人这个根本大计，高度重视共青团和青年工作，深入分析把握当代青年的成长规律，认真研究解决共青团工作中的重大问题，严格要求、热情关心团的干部，为共青团开展青年工作提供有力支持。……★附申论！国考省考考生看过来——刘源团队申论课程来了！针对2024年度申论的暑期方法论讲授、国庆真题练讲、考前冲刺串讲三大学习营热招申论！国考省考考生看过来——刘源团队申论课程来了！针对2024年度申论的暑期方法论讲授、国庆真题练讲、考前冲刺串讲三大学习营热招。★免费课视频回放集：中央遴选历年真题及其答案解析（含刘源老师讲解2023中央遴选《案例分析一科（B类）》真题卷及答案一题一题详版）网页链接。★各省区市遴选选调笔试真题及其答案视频课+课程PPT+试卷本+答案本（刘源团队提供每省30分钟左右免费课试听，其他视频和文档收费） 网页链接。,0,0,1,上海,上海,上海,中国, 党的全国代表大会
27,4904198460675469,东方财经浦东,2023-05-22 14:04:51,【#董幼鸿：用马克思主义指导实践，去解答世界之问#】中国共产党第二十次全国代表大会于2022年10月顺利召开，党的二十大是在全党全国各族人民迈上全面建设社会主义现代化国家新征程，向第二个百年奋斗目标进军的关键时刻。 东方财经浦东的微博视频 ,0,0,0,,上海,上海,中国, 党的全国代表大会
27,4892168483246474,上海市法学会,2023-04-19 09:22:01,#上海市法学会##法学期刊研究会#三、党建工作根据上海市法学会的要求，研究会党的工作小组先后组织党员和成员在党的工作小组群和法学期刊研究会群里开展了《中共中央关于党的百年奋斗重大成就和历史经验的决议》《习近平在中国共产党第二十次全国代表大会上的报告》及习近平法治思想等一系列专题学习，并在法学会下发的《党员学习记录本》上作了学习主题和要点的记录共90余篇。四、自身建设1.根据上海市法学会要求，征集、上报理事信息和照片。2.2022年，研究会减少理事2人（根据法学会批复，孙建伟同志不担任研究会理事；沈敏同志由于司法部有关兼职要求，请求辞去理事职务，市法学会已批准。），增加成员2人（华东政法大学教授胡玉鸿、闵行区人民检察院检察官王秀梅）。,3,2,3,上海,上海,上海,中国, 党的全国代表大会
34,4827406252381448,上海杨浦,2022-10-22 16:20:02,#小杨带你看新闻#【中国共产党第二十次全国代表大会胜利闭幕】中国共产党第二十次全国代表大会胜利闭幕。第二十届中央委员会和中央纪律检查委员会，已经党的第二十次全国代表大会选举产生。大会通过了关于十九届中央委员会报告的决议。大会通过了关于十九届中央纪律检查委员会工作报告的决议。大会通过了关于《中国共产党章程（修正案）》的决议。,0,0,1,,上海,上海,中国, 党的全国代表大会
5,4981424643641693,上海嘉定,2023-12-21 16:34:08,【嘉定区融媒体中心：坚持正确舆论导向，牢守意识形态阵地】#主题教育进行时# 作为党的一项重要工作，新闻舆论工作是治国理政、定国安邦的大事，新闻事业是党的整个事业的重要组成部分。根据习近平新时代中国特色社会主义思想要求，新闻舆论要着力提升传播力、引导力、影响力、公信力，因此区县融媒体中心的外宣工作成为业务重心之一。根据职能设置，嘉定区融媒体中心固定的外宣对接渠道之一是上海电视台融媒体中心通联部，主要用稿栏目为《新闻坊》《民生一网通》2个由通联部主要负责的节目，以及《上海早晨》《新闻夜线》等编播部负责的栏目。#我嘉动态#,0,0,1,,上海,上海,中国, 党的公信力
8,4936098851851708,YJZ-021,2023-08-18 14:45:37,近年来，我国在反腐败斗争中取得了显著的成果，大家也对纠四风的工作越来越关注。为了进一步加强党风廉政建设，必须坚决纠“四风”，一刻不停歇。为什么要说坚决纠“四风”，一刻不停歇呢，最根本的原因在于，不加大力度整治“四风”，在一定程度上将会导致党的公信力有所下降，人民群众会对地方政府产生负面影响。纵观历史，对于一些不熟悉的地区、人物，我们往往会因为一件特定的事情对其印象固定化，例如某个地方有贪官污吏，那么下次对于这个地方的印象就会觉得这个地方政治生态不好，该地方走出去的干部也会容易被人误解。因此，不仅仅是大环境需要坚决纠“四风”，往小了说，我党的根本宗旨是全心全意为人民服务，“四风”问题，最终会对广大人民群众的利益产生损害。要坚决纠正形式主义、享乐主义、官僚主义、奢靡之风“四风”问题。党员干部要树立正确的价值观念，树立廉洁奉公、勤政务实的形象。干部应该以身作则，带头过简朴节约的生活，以良好的作风影响身边的人。杜绝享乐主义，要脚踏实地，踏实工作，勤勤恳恳为人民服务。只有真正把工作做到实处，把工作高质量完成才能赢得人民群众的支持和信任。总之，在党风廉政建设中，不能有丝毫松懈的心思。只有坚决纠“四风”，不停歇地奋斗，才能让群众更加信任政府的工作，才能保证党的先进性和纯洁性。,0,0,0,上海,上海,上海,中国, 党的公信力
8,4932194164017085,夜澜听风198812,2023-08-07 20:09:47,#医药反腐风暴来袭##多场医药学术会议延期#  当前，国家正在地开展全国医药领域腐败问题集中整治，此次由上而下的反腐行动，持续深入且力度空前。医药及医疗领域的腐败，它蚕食着广大人民群众的切身利益，严重损害老百姓的生命权、健康权和身体权，严重损害国家和政府部门的公信力，动摇了党的领导和人民群众追求美好未来生活的信心。而作为一名医疗受害者，我比更多人对医疗腐败有深刻地切肤之痛。父亲是一名党龄超过50年的老党员，18岁后入伍8年，壮年时为乡村镇之间扛电线杆架电线，骑着自行车往返十多公里给乡亲传递信件，做过太多重活累活，为国家默默地贡献着微薄之力。父亲对国家、人民和生养他的土地满是热爱。可把信任托付给广西壮族自治区人民医院，却是落得这样的结果。他们愧对“人民”二字！最后，坚决拥护党和国家深入持久地打击医疗及医药领域的腐败行动！,1,2,6,上海,上海,上海,中国, 党的公信力
10,4915727105263057,被摧残的快乐,2023-06-23 09:35:34,#川大对张某的调查显得失焦且碎片化#党的公信力何在？留党察看逗谁呢？ ,0,3,18,上海,上海,上海,中国, 党的公信力
22,4787907451945483,嫣然一笑上海,2022-07-05 16:25:53,全媒体爆料平台6月29日的网上信访  国家信访局幕后黑手违反《信访工作条例》“谁主管，谁负责”规定，违法转送信访事项，践踏网上信访公信力，迎接党的二十大胜利召开。  2022年5月23日国家信访局微信公众号报道：带着感情和责任办好每一封群众来信。报道说：“一封封群众来信，体现着对我们党的真诚拥护，折射出对美好生活的热切期待。国家信访局对每封群众来信都认真规范办理，放在增强“四个意识”、坚定“四个自信”、践行“两个维护”的高度来对待，用心用情为群众排忧解难”。 国家信访局于2021年12月15日签收杨秀婷第十封邮寄给国务院秘书长肖捷信件，违反《信访事项网上办理工作规程（试行）》第四条规定，没有将杨秀婷提出的信访事项及时登记录入国家信访信息系统，销号卖访。因此，2022年6月27日网上反映，6月28日21点59分国家信访局没有办理该信访件（证据附件一），但6月29日网上却显示，国家信访局于6月28日已将信访事项转交上海市信访办（证据附件二）。难道国家信访局幕后黑手半夜加班？难道上海市信访办主管国家信访局？ 杨秀婷，22年6月29日,23,10,15,上海,上海,上海,中国, 党的公信力
5,5044840372372835,上海规划资源,2024-06-13 16:25:36,"【坚持规划引领,对标国际一流,积极保障重大工程落实】# 业务动态##重大建设项目#为全面贯彻落实党的二十大和十二届市委四次全会精神，落实“全力抓好重大工程和实事项目建设”的要求，近年来，黄浦区规划资源局深入贯彻落实区委、区政府相关决策部署，在上海市规划资源局的指导下，积极落实规划资源营商环境实施方案，深化“宜商黄浦”品牌建设、激发市场活力、增强高质量发展动力，持续落实行政审批制度改革，加快推进市区重大工程落地生根，不断推动中心城区高质量发展。详情点击【重大建设项目】坚持规划引领,对标国际一流,积极保障重大工程落实",0,0,0,,上海,上海,中国, 党的决策
6,5044044986318966,上海文明徐汇,2024-06-11 11:45:00,【深入学习贯彻习近平新时代中国特色社会主义思想 | 全面加强党的纪律建设的强大思想武器】开展党纪学习教育，必须深入学习领会习近平总书记关于全面加强党的纪律建设的重要论述，深刻认识重大意义、全面落实实践要求，切实把思想和行动统一到党中央决策部署上来，真正使学习党纪的过程成为增强纪律意识、提高党性修养的过程。深入学习贯彻习近平新时代中国特色社会主义思想 | 全面加强党的纪律建设的强大思想武器,0,0,0,,上海,上海,中国, 党的决策
7,5043436975293054,上海嘉定,2024-06-09 19:29:00,【#嘉清风#｜问责！党的建设缺失】《中国共产党问责条例》第七条第二款规定，党的政治建设抓得不实，在重大原则问题上未能同党中央保持一致，贯彻落实党的路线方针政策和执行党中央重大决策部署不力，不遵守重大事项请示报告制度，有令不行、有禁不止，阳奉阴违、欺上瞒下，团团伙伙、拉帮结派问题突出，党内政治生活不严肃不健康，党的政治建设工作责任制落实不到位，造成严重后果或者恶劣影响的，应当予以问责。,0,0,0,,上海,上海,中国, 党的决策
9,5040938261415843,风闻社区,2024-06-02 22:00:00,【美国“散装”各州的四大立场，如何影响对华贸易决策？】刘语默：美国对华贸易决策究竟是如何制定的？在决策过程中关键的政治行为体之间的利益并不总是一致。从美国两党的选举地理来看，产业利益和政治偏好并未形成铁板一块的联盟，而是存在龃龉不合的情况。那么，这其中种种关键因素是如何互动的呢？刘语默：产业地理与美国对华贸易决策,0,0,1,,上海,上海,中国, 党的决策
11,5039510603432722,上海海洋石油局,2024-05-29 23:27:00,【党纪学习教育｜钻分念好“严细实”三字诀，推动党纪学习教育落地见效】钻井分公司党委深入学习习近平总书记关于加强党的纪律教育的重要论述，把开展党纪学习教育作为当前重要政治任务，按照上级决策部署要求，坚持在制定方案上从细，开展学习上从严，落实行动上抓实，念好“严细实”三字诀，推进党纪学习教育走深走实。党纪学习教育｜钻分念好“严细实”三字诀，推动党纪学习教育落地见效,0,0,0,,上海,上海,中国, 党的决策
12,5039280727264308,上海证券报,2024-05-29 08:13:33,#上证快讯# 【工业和信息化部党组书记、部长金壮龙：推进新型工业化 构筑中国式现代化强大物质技术基础】工业和信息化系统要全面贯彻落实党的二十大精神和党中央决策部署，牢记“国之大者”，增强历史主动，奋力谱写推进新型工业化新篇章。工业和信息化部党组书记、部长金壮龙：推进新型工业化 构筑中国式现代化强大物质技术基础 ,4,1,2,,上海,上海,中国, 党的决策
14,5037586973986255,盈浦城建中心,2024-05-24 16:03:11,习近平总书记多次就开展党纪学习教育发表重要讲话、作出重要指示，为开展党纪学习教育提供了重要遵循。开展党纪学习教育，是加强党的纪律建设、推动全面从严治党向纵深发展的重要举措。城建中心党支部切实把思想和行动统一到党中央决策部署上来，不折不扣落实《关于在全党开展党纪学习教育的通知》要求，扎实组织全体党员开展党纪学习教育，以实际行动坚定拥护“两个确立”、坚决做到“两个维护”，在深学细悟笃行中赓续“红色根脉”、感悟初心使命，为全面加快推进美丽盈浦跨越式高质量发展提供坚强有力保障。纪律是党的生命线，加强纪律建设是全面从严治党的治本之策。党的纪律是党员、干部用来约束自己行为的标准。学好党纪才能时刻警醒自己什么是应该做的，什么是不应该做的，什么是绝对不能做的。所有的纪律问题应该通过党章、党规党纪的学习而扼杀在萌芽里，熟悉掌握并自觉遵守，而不是等大错铸成后才幡然醒悟，悔不当初。因此，城建中心党支部将党纪学习落实为常态化教育，每月都安排一次大家坐下来潜心学习的机会，并交流学习心得，回忆当初入党时的本心。历史和实践充分证明，加强党的纪律教育是我们党的一大政治优势，是保持党的先进性和纯洁性的有效举措，是党的事业攻坚克难、不断从胜利走向新的胜利的可靠保证。我们必须继承弘扬我们党加强纪律教育的重要经验，进一步从中汲取智慧和力量！,0,0,1,上海,上海,上海,中国, 党的决策
19,5034584721590584,房可圆,2024-05-16 09:13:18,【奉贤区召开2024年全区物业管理工作大会】5月15日上午，奉贤区召开2024年度全区物业管理工作大会，进一步深入学习贯彻党的二十大精神和习近平总书记考察上海重要讲话精神，全面落实市委、市政府重要决策部署，聚焦“优化人居环境、强化服务功能”工作主线，对奉贤物业管理工作进行动员部署，推动打造品质更高、内涵更广、韧性更强的新时代宜居美丽家园。奉贤区召开2024年全区物业管理工作大会,0,0,0,,上海,上海,中国, 党的决策
20,5033881901995308,文明上海,2024-05-14 10:40:33,党的十八大以来，以习近平同志为核心的党中央高度重视社会主义精神文明建设，把培育时代新人、提升社会文明程度作为一项重要工作常抓不懈，作出一系列凝魂聚气、强基固本的战略决策。文明网评｜生动呈现党的创新理论 “飞入寻常百姓家”的时代之光 ,0,0,0,,上海,上海,中国, 党的决策
26,5027692741397781,喵斯拉大王二号机,2024-04-27 08:47:02,#纪委回应发改委干部被爆出轨女下属#总书记在二十届中央纪委三次全会上强调，以学习贯彻新修订的纪律处分条例为契机，在全党开展一次集中性纪律教育。贯彻落实习近平总书记重要讲话精神和党中央决策部署，三次全会将“突出严的基调深化党的纪律建设”列入今年主要工作，为纪检监察机关用好纪律“戒尺”指明了方向、提供了遵循。纪律建设是党的自我革命的重要内容，在解决大党独有难题中发挥着至关重要的作用。学习领会习近平总书记重要讲话精神，就要把纪律建设摆在更加突出位置，充分发挥纪律建设标本兼治的利器作用，推动广大党员干部切实养成纪律自觉，以严明纪律护航党的事业行稳致远。深化纪律教育，着力解决对党规党纪不上心、不了解、不掌握等问题，促进党员干部增强纪律意识、养成纪律自觉用好纪律“戒尺”，首先要让党员干部明确“严”的标准。加强党纪教育是落实全面从严治党要求、加强党的纪律建设的一项基础性、经常性工作。纪律处分条例是规范党组织和党员行为的基础性法规。抓好新修订的《中国共产党纪律处分条例》（以下简称《条例》）的学习贯彻既是政治任务，也是抓实纪律教育的重要举措。全会要求“以学习贯彻新修订的纪律处分条例为契机加强纪律教育”，意在督促引导广大党员干部学纪、知纪、明纪、守纪，纠正一些党员干部对党规党纪不上心、不掌握、不执行等问题。,0,0,21,上海,上海,上海,中国, 党的决策
27,5021923564588510,上海市法学会,2024-04-11 10:42:23,幸福是奋斗出来的#奉贤区法学会# 供稿奉浦街道召开安全生产与生态环境工作部署会为深入贯彻党的二十大精神和习近平生态文明思想，落实市委市政府相关决策部署，进一步按照奉贤区安全生产治本攻坚三年行动及生态环境治理目标任务，确保奉浦安全生产和生态环境工作各项要求扎实见效，2024年4月9日上午，奉贤区法学会团体会员单位奉浦街道召开安全生产与生态环境工作部署会。街道党工委副书记、办事处主任徐露隽强调，安全生产是民生大事，事关人民福祉，事关经济社会发展大局，要全面筑牢安全生产防线。街道各部门要通过“明责、尽责、问责”三方面来全面强化思想，对标对表明确责任。把加强检查的频次和力度作为此次落实部署的关键，街道从党政班子成员开始带头结合日常工作把安全工作摆进去，人人查、次次查、时时查，要把安全检查融汇进各个行动和活动中。要加强隐患整改力度，全面开展各类安全检查工作，形成整改闭环，对不尽职的单位和个人倒追责任。#幸福是奋斗出来的#,10,5,9,上海,上海,上海,中国, 党的决策
29,5006082084962795,风闻社区,2024-02-27 17:34:00,#任何行政机关不得随意给予顶格或高额罚款#【媒体评论：不妨以“最严最细标准”规范行政罚款权限】北青报：为贯彻落实党的二十大决策部署，维护公平竞争市场秩序，优化营商环境，推动高质量发展，国务院日前印发《关于进一步规范和监督罚款设定与实施的指导意见》（以下简称《意见》），首次对行政法规、规章中罚款设定与实施作出全面系统规范。作为行政处罚的一种，合理合法的罚款，对行为人能起到必要的惩戒作用，规范市场秩序；而不合理不合法的罚款，既加重行为人负担、侵犯行为人合法权益，也有损行政执法形象、影响营商环境。《行政处罚法》对行政罚款虽有必要规范，但全面性系统性不足。观察近年来的行政罚款情况，总体来说相对规范，但也不乏出格的案例。拿菜农卖菜被罚款来说，已有不少引发社会广泛关注的反面典型案例。譬如，有菜农卖菜获利14元，因为农药残留不合格，合计被罚款10万元；有菜农卖菜挣了21元，由于销售不合格蔬菜被罚款11万元。上述案例均被司法机关裁定处罚过重，不准予强制执行。当前从上到下都高度重视营商环境建设、高度重视公民及企业合法权益，在此背景下，进一步规范行政罚款很必要。《意见》从总体要求、依法科学设定罚款、严格规范罚款实施、全面强化罚款监督四个方面，共提出15条具体措施，首次全面系统规范行政罚款的设定与实施，意义重大。《意见》将对行政罚款权形成全面系统的制约。过去某些行政执法机关之所以乱罚款多罚款，一个重要原因是罚款权没有受到有效约束。对此，严守罚款设定权限、坚持严格规范执法、深入开展源头治理、加强审计监督、充分发挥监督合力等安排，对罚款权制约更到位。当行政罚款权受到有效制约，既能规范罚款行为维护行政执法形象，也能塑造风清气正、公平合理的营商环境；既能保护公民和企业合法权益，也能推动经济高质量发展。行政执法工作一头连着政府，一头连着群众，只有严格规范罚款行为，才能让政府和群众两头受益。在落实《行政处罚法》《意见》基础上，还要以最严、最细的标准约束行政罚款权。《意见》在“合理确定罚款数额”中提出，规定处以一定幅度的罚款时，除涉及公民生命健康安全、金融安全等情形外，罚款的最低数额与最高数额之间一般不超过10倍。这就是一种标准要求，能够遏制过罚不当的问题。此外，《意见》还提出，各地区、各部门要根据地域、领域等因素，适时调整本地区、本部门规定的适用听证程序的“较大数额罚款”标准。这对优化罚款标准、减轻罚款负担有指导意义。希望各地和各有关部门能据此制定出合理合法的罚款标准，严守罚款设定权限。新设罚款和确定罚款数额时，如何做到该宽则宽、当严则严？笔者认为，需要最严、最细的量化标准。只有让罚款标准最严，才能防止随意罚款现象；只有罚款标准最细，才能防止裁量空间过大。鉴于具体执法机关在基层，基层执法人员素质参差不齐，就需要严标准、细要求。为了让行政罚款标准最严、最细，凡是广泛存在的罚款行为，最好在全国层面统一规范罚款标准；而一些地方、领域独有的罚款行为，则要按照法律和文件的具体要求，加强指导和监督。#机械执法或衍生趋利性执法问题#,2,1,3,,上海,上海,中国, 党的决策
30,4991489058801947,上海证券报,2024-01-18 11:06:32,#上证快讯# 【七部门：将高校学生宿舍纳入地方政府专项债券支持范围】据国家发展改革委1月18日消息，为贯彻落实党的二十大精神和党中央、国务院决策部署，加快推进高校学生宿舍建设，增加高校学生宿舍供给，提升宿舍环境，丰富宿舍功能，更好满足高校学生在校学习生活需要，近日，国家发展改革委、教育部等七部门联合印发《关于加强高校学生宿舍建设的指导意见》。七部门：将高校学生宿舍纳入地方政府专项债券支持范围,1,0,2,,上海,上海,中国, 党的决策
