页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,打卡记录监督
15,5023823072856134,潍坊市中级人民法院,2024-04-16 16:30:21,【#转发不雅视频造谣同学被判朋友圈赔礼道歉##网络校园欺凌伤害不亚于传统欺凌#】说起学生欺凌事件多数人会想到殴打、索要财物、孤立等现实行为，除此之外，网络欺凌行为也会给未成年人带来巨大的心理伤害。与线下暴力直接造成的人身伤害不同，这种伤害往往是无形但沉重的，其严重程度并不亚于传统欺凌。近日，北京四中院二审审结了一起涉未成年人网络欺凌案件，实施欺凌的学生被判朋友圈赔礼道歉，其家长作为监护人赔偿对方各项经济损失5000元。小张与小黄是同一所学校的同学。某一天，小张从别人那里看到一篇微信笔记，内容与小黄有关。笔记中的相关言论粗俗，直指小黄发在朋友圈中的照片为盗图，系其故意打造生活精致人设。由于小张素来看小黄不满，出于“惩恶扬善”的心理，小张便在朋友圈邀请大家“吃瓜”。有同学“闻讯而来”，小张遂将涉案微信笔记以及其此前保存的几段视频，其中包括一段不雅视频发给了“吃瓜群众”，并影射不雅视频中的女子为小黄。在“吃瓜群众”询问这些资料是否可以外传时，小张表示“随便发”。之后，涉案笔记以及涉案视频又在小范围内进行了再度传播。实际上，不雅视频是小张此前在一个微信群中保存的，视频中的女性未露脸，因此小张并不能确定视频中的女子是小黄，但因视频发布者称视频中女子为小黄，所以小张也向他人影射视频中的女子为小黄。为维护自身合法权益，小黄将小张告上法庭，要求法院判决小张赔礼道歉并赔偿精神损害抚慰金10000元以及律师费5000元。但是小张觉得，自己并不是涉案微信笔记、视频的制作者，只是转发者而已，而且自己只转给了一名同学，其他同学如何转发并非自己能干涉，因此不应承担责任。一审法院北京互联网法院审理后认为：网络传播具有便利、广泛、快捷的特点，小张向他人转发含有大量贬损小黄言论的笔记、群聊记录以及 “不雅视频”，极易在其和小黄所在的共同学生群体中扩散，使他人对小黄产生负面认识并造成其个人在特定环境中的社会评价降低。因此，小张的行为构成对小黄名誉权侵权。其次，用户发布的朋友圈应仅限于在其好友或其设置的“可见范围”之间进行分享、传播。朋友圈及朋友圈内容应属于不愿为他人知晓的私密空间、私密信息。因此在本案中，小张向他人转发包含小黄朋友圈内容笔记的行为侵犯了小黄的隐私权。最终，一审法院综合考虑小张的过错程度、侵权持续时间、结果影响范围等，判处小张父母向小黄赔偿精神损害抚慰金3000元以及律师费等合理支出2000元。此外，一审法院还判决小张在其微信朋友圈向小黄公开赔礼道歉，且致歉声明需连续公开保留至少24小时。双方当事人均不服一审判决，提起上诉。小黄认为其所获得的赔付不足以弥补所受到的伤害。小张则认为一审判处的精神损害抚慰金以及律师费无事实与法律依据。北京四中院二审审理后认为，本案中，小张向他人发送的笔记、群聊记录、视频内容明确指向小黄，相关内容明显会给小黄造成不良影响，导致小黄的个人形象受损、社会评价降低，而小张并不能准确说明相关视频的来源途径，也不能提供视频来源的具体证据，且小张存在授意他人肆意传播的情况，对于因此给小黄造成的名誉损害，小张负有过错，一审法院认定小张侵权成立正确。一审法院根据案涉侵权行为的性质、过错程度和影响范围等酌情判定的赔礼道歉方式、时长以及精神损害抚慰金和律师费金额均无不妥。据此，北京四中院二审驳回了双方上诉，维持原判。via.央视网,0,0,0,,潍坊,山东,中国,校园欺凌
15,5023822696678136,北斗融媒,2024-04-16 16:28:52,【最高法：#对未成年犯罪处罚上坚持宽容但不纵容##从严从早处理校园欺凌#】最高人民法院4月16日发布了涉妇女儿童案件情况。未成年人违法犯罪形势依然严峻，校园暴力问题不容忽视。近三年来，未成年人违法犯罪数量总体呈上升趋势，2021年至2023年，人民法院共审结未成年人犯罪案件73178件，判处未成年人罪犯98426人，占同期全部刑事罪犯的2%至2.5%。#近期4位不满14周岁未成年被判刑#,0,0,1,,沈阳,辽宁,中国,校园欺凌
15,5023750908808250,千图公益,2024-04-16 11:43:36,#馆馆动态#【预防校园欺凌 守护美好童年】为保障未成年人健康成长，提高学生自我保护意识，有效预防校园欺凌伤害，4月13日上午，怀化市锦溪小学2022级8班在易烊千玺粉丝公益图书馆鹤城馆组织开展了“防欺凌”安全教育公益小天使班级活动。网页链接 ,3,1,26,湖南,怀化,湖南,中国,校园欺凌
15,5023821683232538,丰都法院,2024-04-16 16:24:50,【全民国家安全教育日｜将安全意识的“种子”播撒进校园】为提高未成年人国家安全意识和防范校园欺凌能力，4月15日，丰都县法院刑事审判庭王世敏法官以“法治副校长”的身份走进丰都县第一小学校开展“4·15”国家安全教育普法宣传活动，为全校师生讲授了一堂内容丰富、贴合校园的法治课。 ,0,0,0,,重庆,重庆,中国,校园欺凌
16,5023821035997053,云南省人民检察院,2024-04-16 16:22:16,【利剑护蕾｜打好“组合拳”！开启防校园欺凌宣传新模式】永德县检察院“青芒果”未检工作室检察官以近期网络热议的校园欺凌话题为引，向同学们讲解刑事责任年龄以及最高检对低龄未成年人核准追诉工作。同时，结合真实案例以案说法，讲解什么是校园欺凌、校园欺凌的主要方式及可能涉及的罪名、校园欺凌的危害及后果、如何应对校园欺凌等，引导同学们不做霸凌者，不做旁观者，不做受害者，理性处理矛盾纠纷，拒绝冲动行为，采取正确的方式保护自己。利剑护蕾｜打好“组合拳”！开启防校园欺凌宣传新模式,1,3,2,,昆明,云南,中国,校园欺凌
16,5023811562636584,有所不甘,2024-04-16 15:44:37,反对校园欺凌#今日我若冷眼旁观他日亦无人为我摇旗呐喊# ,0,0,0,山东,临沂,山东,中国,校园欺凌
16,5023811212675990,新都法院,2024-04-16 15:43:14,“向美而行，守护少年的你”——新都法院法治校长参加“拒绝校园欺凌”主题班会活动@成都市中级人民法院 近日，新都法院豌豆荚·新法先锋志愿队队员赵乐法官以法治校长身份参加成都市现代制造职业技术学校“向美而行——守护少年的你”主题班会。会上，赵法官与同学们一同学习、讨论“什么是校园欺凌”“为什么会发生校园欺凌”“如何拒绝校园欺凌”。交流环节，赵法官将《刑法》《治安管理处罚法》《未成年人保护法》《预防未成年人犯罪法》等相关法律融入案例中，为同学们讲解校园欺凌的表现形式、欺凌他人可能产生的法律后果，特别提醒同学们遇到校园欺凌时既不能做“沉默的羔羊”，也不能做“冲动的施暴者”，要善于运用法律的武器维护自己的权利。青春脚步不止，法治教育不停。下 一 步新都法院持续发挥法治校长作用，通过“大讲座小课堂”，开展更多既有针对性又有时效性的普法活动，守护好“少年的你”。,0,0,0,,成都,四川,中国,校园欺凌
16,5023809103203407,大连瓦房店广播电视台,2024-04-16 15:34:51,#追寻先烈足迹辽宁在行动##辽宁好网民守法好公民#   为进一步增强未成年人的安全与法律意识，提高自我保护能力，近日，万家岭镇党委联合万家岭镇司法所、瓦房店市法律援助中心来到万家岭镇中心小学，结合学习《未成年人保护法》，为学生们带来了一堂以“托起明天的太阳”和“防校园欺凌”为主题的法治宣传教育课，全校近200余名师生参加。,0,0,0,,大连,辽宁,中国,校园欺凌
16,5023804470858833,平度发布,2024-04-16 15:16:26,“童言童语”说安全 防“校园欺凌”篇 （融媒记者： 刘畅 贾晓璐 刘竣山 苗新萌 戴研 ） 平度发布的微博视频 ,0,0,0,,青岛,山东,中国,校园欺凌
16,5023800687596382,惠州消防官微,2024-04-16 15:01:24,别让校园欺凌成为童年的一道疤，别让安全缺失带给孩子永久遗憾。遭遇欺凌可能成为孩子一生的阴影，拒绝校园欺凌，我们共同努力！#近期4位不满14周岁未成年被判刑# ,0,0,0,,惠州,广东,中国,校园欺凌
16,5023540858324631,深圳图书馆,2024-04-15 21:48:56,#深小图读报# 《世界幸福报告》出炉，人们越来越愿意帮助陌生人；挪威如何对校园欺凌说“不”；创建太空单一市场，欧盟跃跃欲试……深圳图书馆 深圳·深圳图书馆 ,9,8,22,,深圳,广东,中国,校园欺凌
16,5023798842362787,青岛市中级人民法院,2024-04-16 14:54:04,#青法资讯# 【青岛中院开展送法进社区活动】 4月10日下午，应青岛市中级人民法院特邀监督员邀请，青岛中院监察室联合少审庭走进崂山区东城国际社区，以“防治校园欺凌  共护少年成长”为题，为青岛市供销中专的同学们和社区党员开展专题普法。 青岛中院开展送法进社区活动 ,0,0,0,,青岛,山东,中国,校园欺凌
16,5023797319043399,长阳法院,2024-04-16 14:48:01,【送法进校园 护航“未”成长】4月16日，长阳土家族自治县人民法院“法映清江· 清禾”法治宣讲团走进津洋口初级中学，为七年级师生送上一堂主题为“对校园欺凌说‘不’”的法治课，呼吁师生用正义和法治的阳光共同驱散校园霸凌的阴霾。 ,0,0,1,,宜昌,湖北,中国,校园欺凌
16,5023796274922835,兰州西固检察,2024-04-16 14:43:52,【#对未成年犯罪处罚上坚持宽容但不纵容##从严从早处理校园欺凌#】近三年来，未成年人违法犯罪数量总体呈上升趋势，2021年至2023年，人民法院共审结未成年人犯罪案件73178件，判处未成年人罪犯98426人，占同期全部刑事罪犯的2%至2.5%。#近期4位不满14周岁未成年被判刑#via.央视新闻 最高法：未成年人违法犯罪数量总体上升 三大问题尤为突出,0,0,0,,兰州,甘肃,中国,校园欺凌
17,5023786260759331,庆元检察,2024-04-16 14:04:04,预防校园欺凌 检察官“再”行动预防校园欺凌 检察官“再”行动 ,0,0,0,,丽水,浙江,中国,校园欺凌
17,5023785478526299,济宁高新区法院,2024-04-16 14:00:58,预防校园欺凌，共建平安校园——济宁高新区法院联合洸河中学召开校园安全暨防欺凌工作座谈会    为深入推进法治校园、平安校园建设，近日，济宁高新区法院联合高新区洸河中学召开校园安全暨防欺凌工作座谈会，济宁高新区法院立案庭副庭长刘笑、立案庭法官高雅倩及洸河中学班子成员，部分教师、家长代表参加座谈会。    座谈会上，洸河中学校长胡克亮介绍了洸河中学校园安全工作的经验做法，家长代表对近期常见的校园安全隐患发表了意见，刘笑副庭长就丰富法治教育形式与学校、家长代表进行了深入沟通交流，并针对如何形成有效合力治理校园欺凌等问题提出了工作建议。作为洸河中学法治副校长，高雅倩法官表示将继续履行好法治副校长职责，与学校形成长期良好的沟通，采取实际行动，不断满足学校法治教育需求。    此次座谈会，为学校进一步开展法治教育工作，形成该校法治教育长效机制建设起到了推动作用。下一步，济宁高新区法院将继续常态化开展未成年人法治教育工作，合力组织、安排、实施“法治副校长进校园”活动，不断增强未成年人法治意识，提高未成年人自我保护能力，全面为校园安全和未成年人健康成长保驾护航。,0,0,0,,济宁,山东,中国,校园欺凌
17,5023783053690981,用户7763412823,2024-04-16 13:51:20,#济南公安# 就单单山东大学黑人女学伴，就特么够恶心了，山东都臭成什么样了，还好意思搁着巴巴，山东几起校园欺凌了？请问人民警察，要是没有网上舆论，那个大学生是不是就是故意伤害了？？？ ,1,8,2,辽宁,沈阳,辽宁,中国,校园欺凌
17,5023728352102432,杨文战律师,2024-04-16 10:13:58,#男子当众扒光前女友衣服获刑5年##律师说法#  按法律规定来说，判5年没问题。实际上公然强扒“前女友”衣服的案子罕见，但公然强扒别人衣服的事并不罕见：比如网传不止发生过一次的校园欺凌公然扒光别人衣服还录视频传到网上的，还有抓小三当街扒衣服的现象，这些情况好象发生过不少，但感觉并不是都追究刑事责任了。如果不到刑事责任年龄没办法追究刑事，可到了刑事责任的呢？关于小三的问题，小三不道德，这一点上讲发泄愤怒情有可原，但从法律角度这种“情有可原”最多影响量刑，不应该影响定罪。所以，对这些情况的扒衣服，大家觉得都该定罪吗？如果定罪，又该如何量刑？普法：以暴力、胁迫或者其他方法强制猥亵他人或者侮辱妇女的，处五年以下有期徒刑或者拘役。聚众或者在公共场所当众犯前款罪的，或者有其他恶劣情节的，处五年以上有期徒刑。,1,1,14,北京,,北京,中国,校园欺凌
17,5023776519226790,青城天平,2024-04-16 13:25:22,【#媒体聚焦# 丨《法治日报》：向校园欺凌说“不”，呼和浩特市中院院长走进校园开讲】校园欺凌事件不仅严重影响学生的身心健康和人格发展，甚至会成为未成年人犯罪的温床。防范校园欺凌是一项系统工程，需要学校、家庭、社会等多方联动共治，连日来，呼和浩特市中院着力推动防范校园欺凌取得积极成效。3月20日，呼和浩特市中院党组书记、院长赵希民正式受聘担任呼和浩特市实验中学的法治副校长，并为学生们讲授了以“打击犯罪 提高自我保护意识”为主题的第一堂法治教育课，用生动风趣的语言和具体丰富的实例讲解了什么是校园欺凌以及如何应对校园欺凌。今年3月初，呼和浩特市中院制定实施了《中小学法治副校长聘任与管理办法》，要求全市每个基层法院选派不少于5名优秀法官干警担任法治副校长，并对教学内容和教学课时都作出了明确的规定，力求做深做实未成年人保护和犯罪预防工作。,0,2,1,,呼和浩特,内蒙古,中国,校园欺凌
17,5023774162814498,西安公安,2024-04-16 13:16:00,【共建安全法治校园 守护青春成长之路】 4月12日，@西安公安 浐灞分局十里铺派出所前往辖区浐灞十小开展“共建安全法治校园之反校园霸凌培训”系列活动。#守护平安2024# 在这次活动中，十里铺派出所民警先围绕校园欺凌案例解析、学生欺凌表现及成因、需要承担的法律责任、如何维权等方面，从身边人、身边事说起，用典型故事、典型案例讲起，用生活实例让老师们树牢法治观念，然后还深入浅出地宣讲了校园欺凌的定义、老师应该如何解决学生间矛盾、学生如何营造良好的同伴关系等问题，使他们引导学生们扣好法治人生的“第一粒扣子”。同时，希望孩子们从自身做起，加强思想道德修养，加强自我保护意识，学会善待他人，学会保护自己。明善恶方能伸张正义，知荣辱才可净化心灵。下一步，浐灞分局将持续开展“送法进校园”等活动，推动法治宣传教育常态长效，与辖区各学校联合构筑和谐法治校园，尽心尽力呵护未成年人健康茁壮成长。,0,2,2,,西安,陕西,中国,校园欺凌
17,5023773830418169,魅力龙陵,2024-04-16 13:14:41,【“利剑护蕾”，龙陵在行动！】“面对校园欺凌，我们既不能做施暴者，也不能做受害者，要坚决勇敢地向校园欺凌说‘不’！”春季开学后，龙陵县140名法制副校长纷纷走进各学校，统一使用龙陵县委政法委针对小学、初中、高中不同年龄阶段编制的法制宣传课件，结合典型案例，采取寓教于乐、分层分类的方式，开展了“防欺凌”“防性侵”“防诈骗”等为主题的系列校园法治教育和法律宣传活动，全县4.5万名未成年学生的自我防护意识进一步得到了提升。#法治校园#  （来源：龙陵新闻）,0,0,0,,保山,云南,中国,校园欺凌
17,5023760484403523,作死小雉,2024-04-16 12:21:39,校园欺凌里校方故意不管受害女生是不是跟外院招聘非洲外派员工专门找农村非独生子女一个道理因为家属不会来闹事，除了偶尔撞到有钱的 ,1,4,0,江苏,南京,江苏,中国,校园欺凌
17,5023757883673811,呈贡发布,2024-04-16 12:11:19,#呈贡发布# 为进一步加强青少年法治教育，提高未成年人学法守法意识，守护未成年人健康成长。日前，斗南司法所联合呈贡区司法局公共法律服务中心、呈贡公证处到区第三小学开展“反校园欺凌”法治宣讲活动。#普法强基##关爱一老一小# ,0,0,0,,昆明,云南,中国,校园欺凌
18,5023756558532933,呈贡发布,2024-04-16 12:06:03,#呈贡发布# 4月12日，斗南街道花田里社区联合大党委成员单位呈贡区人民法院到云南民族大学附属小学斗南校区开展“防范校园欺凌 成长与法同行”普法宣讲活动。#普法强基# #关爱一老一小# ,0,0,0,,昆明,云南,中国,校园欺凌
18,5023755540365635,平安湖北,2024-04-16 12:02:00,【向校园欺凌说不！】突然厌学，常有伤痕，频繁无故要钱……当孩子有这些情况，家长、老师引起注意，孩子很可能正在遭受校园欺凌。不做参与者，不做旁观者，向校园欺凌说不！ ,5,3,0,,武汉,湖北,中国,校园欺凌
18,5023747972794666,平安东方,2024-04-16 11:31:56,东方公安开展“预防校园欺凌 争做文明学生”主题宣讲进校园活动 网页链接 ,0,0,0,,东方,海南,中国,校园欺凌
18,5023743841936207,雨花公安,2024-04-16 11:15:31,【法治教育进校园，打造和谐校园环境】4月15日上午，@雨花公安 分局东塘派出所民警杨长文同志受邀为二十一中师生进行了一场关于防范校园欺凌的法制教育讲座。讲座中他结合典型案例，深入剖析了校园欺凌的危害与成因，并呼吁他呼吁学生们要树立正确的价值观，尊重他人，关爱他人，形成积极健康的人际关系。在遇到欺凌行为时，要勇敢站出来制止或及时报告老师、家长和警方。同时，他也强调了学校和家长在防范校园欺凌中的重要作用，呼吁家校携手，共同为孩子们营造一个安全、和谐、健康的成长环境。此次活动得到师生们的高度评价和热烈欢迎。下一步，东塘派出所也表示将继续与学校合作，共同为创建平安校园贡献力量。,0,1,1,,长沙,湖南,中国,校园欺凌
18,5023741251683050,阳泉城区政法,2024-04-16 11:05:14,【杜绝校园欺凌  共建和谐校园】为切实做好未成年人保护工作，从源头预防和减少未成年人违法犯罪的发生，近日，阳泉城区法院桃河法庭副庭长岳晋芳一行前往南庄路学校开展以“预防校园欺凌 护航健康成长”为主题的普法教育活动。@阳泉政法  ​杜绝校园欺凌  共建和谐校园 ,0,0,0,,阳泉,山西,中国,校园欺凌
18,5023739267777112,happy一一呀,2024-04-16 10:57:21,为进一步提高学生预防和应对校园欺凌的意识，加强学生的自我保护意识，营造健康文明的校园环境。日前，十林镇团委联合中心校走进十林镇十东社区，为十东小学的孩子们身心健康成长保驾护航。活动中，赵老师通过引导、提问、讨论等形式开展，让学生们充分了解校园欺凌的种类、方式，并教育学生要如何保护自己，遇见欺凌时要及时报告老师和家长。也就近期的实际案例，进行了详细讲解，以案说法，让同学们进一步认识了校园欺凌的危害性。青少年是祖国的花朵，是未来的希望，保护青少年心理健康是我们义不容辞的责任。下一步，镇团委会联合中心校多组织此类活动，确保全覆盖。全面提高青少年的自我保护意识，同时，也让同学们增强文明守纪意识，确保校园生活阳光、健康。,0,0,0,河南,南阳,河南,中国,校园欺凌
18,5023738427085166,法治内蒙古,2024-04-16 10:54:00,【诚信呼伦贝尔丨鄂温克族自治旗司法局组织开展诚信“七进”普法宣传进校园活动】近日，呼伦贝尔市鄂温克族自治旗司法局联合锡尼河西司法所走进锡尼河中心校开展预防校园欺凌法治宣传和诚信教育宣传活动。诚信呼伦贝尔丨鄂温克族自治旗司法局组织开展诚信“七进”普法宣传进校园活动 ,0,0,0,,包头,内蒙古,中国,校园欺凌
18,5023737935563326,成都市新都区新新路小学校,2024-04-16 10:52:03,共话衔接     共擎蓝天用爱心浇灌娇嫩的花朵，用双手托起明天的太阳。小学六年级是小学与初中的衔接点，更是孩子们成长的重要转折点。为了帮助家长进一步了解升学流程，提高安全意识，掌握孩子心理健康状态，缓解家长因孩子升学、校园欺凌等问题带来的疑惑和焦虑，4月1日下午，新都区2024第（二）期“名师传道”活动暨新新路小学“共话衔接，共擎蓝天”2024春毕业班家长会在新新路小学五楼阶梯教室举行。本次活动由新新路小学教务处副主任罗兴主持并介绍了本次活动主题及活动流程，新新路小学党支部书记、校长、新都区名师工作室领衔人刘品兰主讲，新都区新新路小学校2018级全体家长与教师，以及刘品兰名师工作室所有成员参会。,0,0,0,四川,成都,四川,中国,校园欺凌
18,5023736643715948,榆社发布,2024-04-16 10:46:55,必读！这份校园防欺凌安全指南一定要看必读！这份校园防欺凌安全指南一定要看 ,0,0,0,,,山西,中国,校园欺凌
18,5023733931312601,北京丰台普法,2024-04-16 10:36:08,发布了头条文章：《沐浴法治阳光，拒绝校园欺凌丨丰台区普法进校园》  @中国普法 @法治日报 @北京普法 @北京丰台司法        沐浴法治阳光，拒绝校园欺凌丨丰台区普法进校园 ,0,0,0,,北京,北京,中国,校园欺凌
19,5023733899330500,美丽禹王台,2024-04-16 10:36:01,#禹王台那些事##禹王台好网民# 4月12日上午，区公安分局三里堡派出所在中山路第一小学开展“国家安全教育日”主题宣讲活动。在活动中，民警针对同学们的年龄特点，结合图片和视频，用通俗易懂的语言讲授了国家安全教育、上（放）学道路安全、手机网络安全、校园反欺凌霸凌等知识，给学生们上了一堂别开生面的法律教育课。,1,0,0,,开封,河南,中国,校园欺凌
19,5023726171851600,大邑教育,2024-04-16 10:05:18,【特殊教育学校以“拒绝校园欺凌 护童健康成长”为主题开展校园防欺凌法治教育活动】4月11日，特殊教育学校以“拒绝校园欺凌 护童健康成长”为主题开展校园防欺凌法治教育活动。活动邀请学校法治校长、大邑县人民法院一级法官陈莉作《邑起护童 对校园欺凌说“不”》专题讲座。此次活动增强了学生们的法律意识和法治观念。,0,0,0,,成都,四川,中国,校园欺凌
19,5023725464586196,四川省人民检察院,2024-04-16 10:02:30,#保护少年的你# 【检爱同行 法护未来】为进一步增强学校师生防校园欺凌的法治意识，4月12日，达州市通川区检察院走进通川区第七小学校，为260余名高年级学生进行“防校园欺凌·保护少年的你”普法宣传。课堂上，检察干警结合校园欺凌引发的严重犯罪典型案例，以生动的语言讲述了校园欺凌的定义、表现形式、产生的原因、可能触犯的法律种类，并向同学们传授防范校园欺凌四个智慧锦囊，引导同学们在法治的守护下茁壮成长。@通川检察,2,0,1,,成都,四川,中国,校园欺凌
19,5023724837536843,六安发布,2024-04-16 10:00:00,"【防范校园欺凌　守护“少年的你”】近期,针对未成年人的欺凌伤害事件,再次敲响全社会共同防治学生欺凌和杜绝针对未成年人暴力伤害行为的警钟。我市教育管理部门和大中小学如何有效防范校园欺凌,如何治理校园欺凌,成为学校、家长、社会需要共同面对的现实问题。       绘出识别认定“精准线”　　对欺凌行为的认定是处置的前提。那么如何加以识别并精准认定?记者从市教体局获悉,为进一步深化校园欺凌综合治理,加强对校园欺凌事件的预防和处置,市教体局印发的《关于开展校园欺凌防治专项行动的通知》中指出,中小学生欺凌是发生在中小学校、职业中专学校和特殊教育学校校园内外、学生之间,一方个体或群体学生单次或多次蓄意或恶意通过肢体、语言及网络等手段实施欺负、侮辱或诽谤,造成另一方个体或群体学生身体伤害、财产损失或精神损害等的事件。　　在对校园欺凌的认定方面,该《通知》要求,在实际工作中,要依据教育部2021年颁布的《未成年人学校保护规定》,正确识别学生欺凌,严格区分学生欺凌与学生间打闹嬉戏行为的界定,进行妥当处理。　　“对校园欺凌的认定受个人主观影响较大,我们要求各校成立由校内相关人员、法治副校长、法律顾问、有关专家、家长代表、学生代表等参与的学生欺凌治理委员会,制定完善预防和处置校园欺凌的各项措施、预案、制度和处置流程,学生欺凌治理委员会要按照应急处置预案和处理流程,对校园欺凌事件进行调查处理。”市教体局思政科科长龚改坦言,对经调查认定实施欺凌的学生,根据实际情况,制定专门教育方案并监督实施欺凌学生按要求接受教育,针对欺凌事件的不同情形予以相应惩戒。       扎紧织密校园“安全网”　　面对不容忽视的中小学生欺凌现象,教育部门要求学校做好宣传教育和排查整治,并把预防学生欺凌和暴力工作纳入相关考核。　　为有效防治学生欺凌,保护学生身心健康,保障学生合法权益,呵护学生健康成长,六安市教体局及各县区教育行政部门、市属学校学生欺凌工作受理举报投诉方式向社会公布。　　　　　　　　　　“我们将该项工作列入重点工作计划,依托法治副校长,通过法治讲座等形式,定期开展校园防欺凌专题教育,并将此纳入学校安全管理工作考核体系之中,加强对防范校园欺凌和暴力专项行动工作的监督、检查和考核,对发生严重欺凌事件的学校实行‘一票否决’。”金寨县学校安全管理中心主任李家宇告诉记者。　　防范欺凌事件,除了考核和问责,提升青少年识别欺凌行为的能力,增强他们的自我保护意识同样尤为重要。　　“欺凌者,要受处,屡教不改要严办；被欺凌,莫慌乱,报告老师来评判；正学风,爱校园,争做文明好少年。”近日,在六安市城北小学四(1)班,该校音乐教师项萍在音乐课上,用朗朗上口、通俗易学的防欺凌手势舞,帮助学生们在轻松愉悦的课堂氛围中,提高预防校园欺凌事件的能力。除此之外,为弘扬校园正能量,防范校园欺凌事件发生,该校还用展示手抄报的形式,鼓励同学们用画笔表达自己反对校园暴力、坚决抵制校园欺凌的决心。　　在叶集区第一小学,各班级以“拒绝校园欺凌,共建平安校园”为主题,设计制作具有本班级特色的黑板报,通过班级文化教育每位学生,让同学们认识到防欺凌的重要性,增强文明守纪意识。　　春学期开学以来,根据教育部门的要求和安排,我市各地各校用多种形式开展预防校园欺凌主题教育活动,营造人人预防、人人抵制校园欺凌的浓厚氛围,通过国旗下讲话、主题班会、德育课堂、专题讲座多种形式开展预防校园欺凌主题教育；与此同时,校园广播、电子屏、黑板报、展板等各种媒介也被充分利用,作为强化校园防欺凌宣传教育的阵地。       公检法合力护“未”来　　为提升青少年法治素养,加强对青少年的法律保护,引导和帮助青少年学生扣好“人生第一粒扣子”,我市公安、法院和检察院结合各自职能,持续开展防范校园欺凌普法教育宣传,提升青少年法律意识和法治素质。　　创新开展生命至上“六个一”平安行动,在校园设有警务室、平安守望点、校门口有护学岗,探索多元联动的“护校安园”模式。2023年以来,市公安局联合团市委、市教体局,邀请资深心理专家走进“六安警方”抖音直播间,围绕构建和谐亲子关系、应对校园欺凌主题,精心组织2场心理健康教育专家直播课,累计吸引8.7万人次观看,点赞数达59.8万次,互动评论达5000余条。　　“作为一名法治副校长,身上担子很重,我们将通过法院开放日、模拟法庭、法治讲座等多种形式,全力保护‘小树苗’长成‘参天树’。”3月22日下午,金安区人民法院副院长王慧芳接过聘书,正式成为六安市清水河第三小学法治副校长。在随后的“与法同行,健康成长”授课中,她以案释法,就抵制校园欺凌等话题和师生互动。　　2023年以来,全市法院系统共有119名法官担任中小学校法治副校长,先后开展法院开放日272次,组织开展庭审进校园活动120余次,组织开展模拟法庭活动35次,共设立8个未成年人法治宣传教育基地,厚植青少年学法、懂法、守法、用法意识,关爱、帮助和引导学生身心健康发展。　　护“未”成长,与法“童”行。据统计,2023年以来,全市检察机关围绕预防校园欺凌、预防网络诈骗等主题开展法治进校园、模拟法庭、检察开放日等法治宣传教育活动600余次,受众9万余人。打造法治教育实践基地5个,培树裕安区人民检察院“云静工作室”、金安区人民检察院“检小君工作室”、霍邱县人民检察院“蓼望工作室”等7个未成年人检察专门工作室或专门团队,通过创作普法短视频、法治微动漫、微网课等,用新颖活泼的形式开展新媒体法治宣传,全力呵护未成年人健康成长。       家庭教育吹响“前哨”　　“校园霸凌不是孩子间的打闹,更不是不懂事,严重者甚至构成了犯罪”,裕安区教体局心理教研员,国家二级心理咨询师黄孝玉认为,校园欺凌,是一种“长期的、持续的、隐秘的、难以直接察觉的”精神伤害,严重侵害未成年人的身心健康。对实施欺凌行为者,会导致欺凌者目中无人,胆子越来越大,进入社会以后,容易导致犯罪。对于被欺凌者,会产生害怕学校、害怕学习的心理状态,甚至恐惧感,进而形成孤僻心理。即使是欺凌事件的旁观者,或者会因为目睹欺凌现象,害怕自己成为欺凌的对象,成为帮凶；或者因为自己没能及时站出来,对欺凌者说“不”,从而导致自己内疚自责,影响生活学习。　　防范学生欺凌,家庭教育是“前哨”。黄孝玉表示,“校园欺凌最重要的还是预防,父母是孩子的第一任老师,在家庭中,父母首先要善于学习和成长,通过言传身教教育孩子,帮助孩子树立正确的价值观和人生观,培养孩子的同理心,同时要融入对子女的法治教育、生命教育、安全教育和品德教育,让孩子认识到暴力行为的危害性和错误性。另外,父母要与孩子建立良好的互动关系,让孩子感受到家人的关心和爱护,帮助孩子疏导成长过程中遇到的困惑和困难,尤其是引导孩子正确处理人际关系,教会他们如何与他人交往,如何沟通和解决冲突,如何求助,更好地建立起正确的人际关系模式,当孩子遭遇欺凌时,才会及时告诉父母,父母也能第一时间解决好这个问题。”",0,0,0,,六安,安徽,中国,校园欺凌
19,5023723017210731,阜阳警方,2024-04-16 09:52:46,#国家安全教育日#【警心护青春 安全进校园】4月15日，第九个全民国家安全教育日，@阜阳警方 阜阳市公安局联合市委国安办、市教育局、阜阳市消防救援支队，在阜阳市城南中学举办“警心护青春 安全进校园”系列主题宣传活动。活动以反校园欺凌、禁毒知识、消防安全、交通安全等公共安全防范知识为主题，通过情景剧表演、禁毒课堂、铁骑表演等形式对其进行了讲解和普及。活动中，民警以常见的校园安全为切入点，通过有奖问答的形式，激发同学们的参与热情。此次活动通过寓教于乐的方式让广大师生进一步提高安全意识和法制观念，增强自我保护能力，营造和谐、健康、文明的校园安全环境。@安徽公安在线 阜阳警方的微博视频,1,1,2,,阜阳,安徽,中国,校园欺凌
